,ID,Date,Likes,Content
349,1288331272100536320,2020-07-29 04:31:25+00:00,28389,"THE WAIT IS OVER... Presenting #SanjayDutt's character from #KGFChapter2: #Adheera... Stars #Yash, #SanjayDutt, #SrinidhiShetty and #RaveenaTandon... Directed by Prashanth Neel. https://t.co/osFl0fWN4y"
216,1514246563199336451,2022-04-13 14:18:08+00:00,28001,"You have raged the Indian cinema and made yourself heard over the length &amp; breadth of the country with #KGF

Wish you turn the world, Territory of Indian cinema once again with #KGFChapter2

@Thenameisyash @prashanth_neel 
@duttsanjay @TandonRaveena @SrinidhiShetty7 @hombalefilms https://t.co/SVQNkgBuME"
342,1335827495463968768,2020-12-07 06:04:28+00:00,27904,"Climax it is !!!!
Rocky ⚔ Adheera
With the deadly fight masters anbariv.....
#KGFCHAPTER2 https://t.co/QiltJiGQgl"
382,1155703232150364161,2019-07-29 04:54:57+00:00,27824,BIG ANNOUNCEMENT... Sanjay Dutt as #Adheera in #KGFChapter2... #SanjayDuttAsAdheera https://t.co/VJ1lKifmla
331,1347214608000421888,2021-01-07 16:12:47+00:00,26937,#KGF2 TEASER: S-T-U-N-N-I-N-G... The expectations from #KGFChapter2 are humongous and the teaser more than lives up to the hype... #KGF2Teaser has an international feel to it. 👍👍👍👍👍 https://t.co/U9ZNA14DH7
137,1514998031338582017,2022-04-15 16:04:12+00:00,26696,Fell in Love with the numbers of #KGFChapter2 and my respect for @prashanth_neel has multiplied beyond words.. I am sharing the sucess with @TheNameIsYash and the total crew. Indian cinema flag is fluttering high with pride especially with the recent thumping successes.
135,1515010686132359178,2022-04-15 16:54:29+00:00,25600,"What is your pick...?

#Beast #KGFChapter2 https://t.co/7W2ak4oSGq"
57,1520670236101337088,2022-05-01 07:43:31+00:00,25265,I know I’m a little late Rocky bhai @TheNameIsYash but… may I come in? 😎 #KGFChapter2 https://t.co/nARngnjF3j
49,1521869967838171137,2022-05-04 15:10:49+00:00,25162,#KGFChapter2 BEATS #RRRMovie to become the 2nd HIGHEST grossing movie after #Baahubali2 at the Indian Box Office.
127,1515234237527461888,2022-04-16 07:42:48+00:00,24868,#KGFChapter2 has crossed ₹ 300 crs Gross at the WW Box office.. In jus 2 days..
325,1355139129101570049,2021-01-29 13:02:00+00:00,24672,"#KGFChapter2 Worldwide Theatrical Release On July 16th, 2021.
#KGFChapter2onJuly16

@TheNameIsYash @prashanth_neel @VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @prakashraaj @BasrurRavi @bhuvangowda84 @excelmovies @AAFilmsIndia @VaaraahiCC @PrithvirajProd https://t.co/fFIEojSpmQ"
320,1370664678288805890,2021-03-13 09:14:59+00:00,24496,"A journey with a great start and no end💫
#KGFChapter1 #kgfchapter2 #kgffamily https://t.co/6J7XSoRR3B"
285,1499263301523423232,2022-03-03 06:00:00+00:00,24492,"There is always a thunder before the storm!
#KGFChapter2 Trailer on March 27th at 6:40 pm.

Stay Tuned: https://t.co/grk8SQMTJe

@Thenameisyash @VKiragandur @hombalefilms @HombaleGroup @duttsanjay @TandonRaveena @SrinidhiShetty7 @bhuvangowda84 @RaviBasrur 
 
#KGF2TrailerOnMar27 https://t.co/CYcWx9vK1j"
261,1508070668838924289,2022-03-27 13:17:20+00:00,24363,"#KGF2Trailer = EPIC. 🔥🔥🔥
#KGF2 #KGFChapter2
Get ready for BOX-OFFICE TSUNAMI...
TRAILER Duration: 2 minutes, 59 seconds. https://t.co/NpeUnUsgh5"
369,1214614822832103424,2020-01-07 18:28:34+00:00,24358,"Wishing our Rocky @thenameisyash a very Happy Birthday 🍾
#RockyBecomesABrand

All of you have a great and safe birthday celebrations with our Rocking Star Yash⭐

#KGFChapter2 #HappyBirthdayYash https://t.co/C8ufkcJfKu"
130,1515178137843531779,2022-04-16 03:59:53+00:00,24211,#Superstar @rajinikanth watched #KGFChapter2 and called the Producer @VKiragandur and appreciated the team..
247,1508786970239004679,2022-03-29 12:43:40+00:00,24061,#KGFChapter2 💫♥️ https://t.co/S9eijDqpw1
318,1374361293658890244,2021-03-23 14:04:01+00:00,23796,"Dubbing with rocky is always rocking ✨
@TheNameIsYash #KGFChapter2 https://t.co/LYsCgjUMEP"
17,1548875682322718720,2022-07-18 03:41:54+00:00,23660,"Bring Back Those looks @TheNameIsYash Boss 🙂

"" 14 YEARS OF YASHISM ""

#YashBOSS #Yash19 #KGFChapter2 https://t.co/0SPs3RS1Vm"
217,1514243260515905542,2022-04-13 14:05:01+00:00,23462,"#Xclusiv... 'KGF 2' TO RELEASE AT 10,000+ SCREENS WORLDWIDE... Detailed screen count of #KGF2...
⭐ #NorthIndia: 4400+
⭐ #SouthIndia: 2600+

⭐ #Overseas [#Hindi]: 1100
⭐ #Overseas [#SouthIndia]: 2900
#KGFChapter2 https://t.co/f16itf1SVt"
219,1514228428614033413,2022-04-13 13:06:05+00:00,23320,"The Fight against piracy starts with you! Please don't take videos &amp; photos and avoid posting them online!

⚠️ Say NO to PIRACY.

#KGFChapter2 #KGF2 @Thenameisyash @prashanth_neel @VKiragandur @hombalefilms @HombaleGroup @duttsanjay @TandonRaveena @SrinidhiShetty7 https://t.co/LyzDlJkzkR"
308,1420605217708527617,2021-07-29 04:40:52+00:00,23073,"Thank you so much everyone for all the warm birthday wishes. Working on #KGFChapter2 has been amazing. I know you all have been waiting for the film's release for a long time and I assure you that it'll be worth the wait!

@TheNameIsYash @prashanth_neel @VKiragandur @hombalefilms https://t.co/zXSqJGeb6i"
354,1287606283223183360,2020-07-27 04:30:35+00:00,23006,"The only way is the BRUTAL way!!
#KGFChapter2
@TheNameIsYash @VKiragandur
@duttsanjay @SrinidhiShetty7 @TandonRaveena @bhuvangowda84 @BasrurRavi @excelmovies @AAFilmsIndia @FarOutAkhtar @ritesh_sid @VaaraahiCC @hombalefilms https://t.co/pMuXZOWlQx"
